commune,slug,department,inscrits,votants,participation_pct,abstentions,abstentions_pct,blancs_nuls,maire_sortant,nb_candidats,candidat_rang,candidat_nom,candidat_etiquette,nuance_code,nuance_label,nuance_couleur,candidat_voix,candidat_pourcentage,candidat_elu,candidat_sieges
Ambleon,ambleon-01300,01-ain,107,93,86.9,14,13.1,3,Annie BIONDA,2,1,Gael RAFFRON,TOUS ENSEMBLE POUR AMBLÉON,AUT,Autres / Sans étiquette,#999999,70,77.8,True,10
Ambleon,ambleon-01300,01-ain,107,93,86.9,14,13.1,3,Annie BIONDA,2,2,Henri ARCAN,MIEUX VIVRE À AMBLEON,AUT,Autres / Sans étiquette,#999999,20,22.2,False,
Ambronay,ambronay-01500,01-ain,2199,1538,69.9,661,30.1,15,Vincent MANCUSO,2,1,Vincent MANCUSO,ENSEMBLE CONTINUONSPOUR AMBRONAY,AUT,Autres / Sans étiquette,#999999,828,54.4,True,18
Ambronay,ambronay-01500,01-ain,2199,1538,69.9,661,30.1,15,Vincent MANCUSO,2,2,Marc BELLATON,"NOTRE VILLAGE, NOTRE AMBITION",AUT,Autres / Sans étiquette,#999999,695,45.6,False,
Ambutrix,ambutrix-01500,01-ain,548,394,71.9,154,28.1,4,Dominique DELOFFRE,2,1,Dominique DELOFFRE,AMBUTRIX L'ESPRIT VILLAGE,AUT,Autres / Sans étiquette,#999999,253,64.9,True,13
Ambutrix,ambutrix-01500,01-ain,548,394,71.9,154,28.1,4,Dominique DELOFFRE,2,2,Patrick PACCALET,BIEN VIVRE ENSEMBLE À AMBUTRIX,AUT,Autres / Sans étiquette,#999999,137,35.1,False,
Amberieu En Bugey,amberieu-en-bugey-01500,01-ain,8806,4286,48.7,4520,51.3,205,Daniel FABRE,3,1,Daniel FABRE,Liste divers centre,DVC,Divers centre,#FF9900,2210,54.2,True,26
Amberieu En Bugey,amberieu-en-bugey-01500,01-ain,8806,4286,48.7,4520,51.3,205,Daniel FABRE,3,2,Rémi CHRISTIN,Liste divers gauche,DVG,Divers gauche,#FFC0C0,1661,40.7,False,
Amberieu En Bugey,amberieu-en-bugey-01500,01-ain,8806,4286,48.7,4520,51.3,205,Daniel FABRE,3,3,Samir EL YOUSFI,Liste d'extrême-gauche,EXG,Extrême gauche,#BB1840,210,5.2,False,
Amberieux En Dombes,amberieux-en-dombes-01330,01-ain,1362,592,43.5,770,56.5,66,Christine FORNES,1,1,Christine FORNES,"UNIS PAR NOTRE VILLAGE, ENGAGES POUR TOUS",AUT,Autres / Sans étiquette,#999999,526,100.0,True,19
Andert Et Condon,andert-et-condon-01300,01-ain,296,224,75.7,72,24.3,9,Patrick GUILLERMIN,2,1,Patrick GUILLERMIN,"CINQ HAMEAUX, UNE COMMUNE : ANDERT ET CONDON",AUT,Autres / Sans étiquette,#999999,141,65.6,True,9
Andert Et Condon,andert-et-condon-01300,01-ain,296,224,75.7,72,24.3,9,Patrick GUILLERMIN,2,2,Francine MARTINAT,ENSEMBLE POUR NOTRE COMMUNE,AUT,Autres / Sans étiquette,#999999,74,34.4,False,
Anglefort,anglefort-01350,01-ain,903,627,69.4,276,30.6,7,Bernard THIBOUD,2,1,Henri PLE,ENSEMBLE ECRIVONS L'AVENIR D'ANGLEFORT,AUT,Autres / Sans étiquette,#999999,355,57.3,True,12
Anglefort,anglefort-01350,01-ain,903,627,69.4,276,30.6,7,Bernard THIBOUD,2,2,Jean-François THIERRY,ANGLEFORT DEMAIN,AUT,Autres / Sans étiquette,#999999,265,42.7,False,
Apremont,apremont-01100,01-ain,308,200,64.9,108,35.1,53,Claude DOCHE,1,1,Marielle LEVRAT,UNIS POUR NOTRE VILLAGE,AUT,Autres / Sans étiquette,#999999,147,100.0,True,11
Aranc,aranc-01110,01-ain,300,232,77.3,68,22.7,0,Daniel MATHIEU,2,1,Monique PALLET,ENSEMBLE POUR L AVENIR DE LA COMMUNE D ARANC,AUT,Autres / Sans étiquette,#999999,152,65.5,True,9
Aranc,aranc-01110,01-ain,300,232,77.3,68,22.7,0,Daniel MATHIEU,2,2,Nathalie VARIGNIER,AVENIR ET SERENITE,AUT,Autres / Sans étiquette,#999999,80,34.5,False,
Arandas,arandas-01230,01-ain,127,90,70.9,37,29.1,41,Lionel MANOS,1,1,Lionel MANOS,RESTONS VILLAGE POUR AVANCER,AUT,Autres / Sans étiquette,#999999,49,100.0,True,11
Arbent,arbent-01100,01-ain,2315,875,37.8,1440,62.2,87,Philippe CRACCHIOLO,1,1,Philippe CRACCHIOLO,Liste divers droite,DVD,Divers droite,#7799FF,788,100.0,True,27
Arbigny,arbigny-01190,01-ain,357,267,74.8,90,25.2,2,Daniel GRAS,2,1,Nadine GASSE,"ARBIGNY, Notre Village",AUT,Autres / Sans étiquette,#999999,182,68.7,True,10
Arbigny,arbigny-01190,01-ain,357,267,74.8,90,25.2,2,Daniel GRAS,2,2,Daniel GRAS,NOUVEL ELAN,AUT,Autres / Sans étiquette,#999999,83,31.3,False,
Arboys En Bugey,arboys-en-bugey-01300,01-ain,581,430,74,151,26,11,Michel-Charles RIERA,2,1,Joël BORDONNAT,ARBOYS EN COMMUN,AUT,Autres / Sans étiquette,#999999,254,60.6,True,16
Arboys En Bugey,arboys-en-bugey-01300,01-ain,581,430,74,151,26,11,Michel-Charles RIERA,2,2,Michel Charles RIERA,"ARBOYS : NOTRE PROJET, VOTRE CHOIX",AUT,Autres / Sans étiquette,#999999,165,39.4,False,
Argis,argis-01230,01-ain,329,159,48.3,170,51.7,21,Laurent BOU,1,1,Laurent BOU,"ARGIS,FIDÈLE À SES RACINES, TOURNÉ VERS L'AVENIR",AUT,Autres / Sans étiquette,#999999,138,100.0,True,11
Armix,armix-01510,01-ain,37,28,75.7,9,24.3,7,Véronique VUILLOUD,1,1,Véronique VUILLOUD,TOUS ENSEMBLE POUR ARMIX,AUT,Autres / Sans étiquette,#999999,21,100.0,True,7
Ars Sur Formans,ars-sur-formans-01480,01-ain,1114,550,49.4,564,50.6,87,Richard PACCAUD,1,1,Thierry DELAMARE,VIVRE ARS,AUT,Autres / Sans étiquette,#999999,463,100.0,True,19
Artemare,artemare-01510,01-ain,906,487,53.8,419,46.2,53,Roland DESCHAMPS,1,1,Roland DESCHAMPS,ARTEMARE C'EST VOUS,AUT,Autres / Sans étiquette,#999999,434,100.0,True,15
Arviere En Valromey,arviere-en-valromey-01260,01-ain,594,322,54.2,272,45.8,39,Annie MEURIAU,1,1,Pascale MARTINOD,ARVIERE DEMAIN,AUT,Autres / Sans étiquette,#999999,283,100.0,True,19
Asnieres Sur Saone,asnieres-sur-saone-01570,01-ain,57,37,64.9,20,35.1,0,Jean-Marc WILLEMS,2,1,Philippe RIGAUD,ASNIERES DEMAIN,AUT,Autres / Sans étiquette,#999999,21,56.8,True,6
Asnieres Sur Saone,asnieres-sur-saone-01570,01-ain,57,37,64.9,20,35.1,0,Jean-Marc WILLEMS,2,2,Michel FONTIS,ENSEMBLE POUR LA COMMUNE,AUT,Autres / Sans étiquette,#999999,16,43.2,False,
Attignat,attignat-01340,01-ain,2557,1298,50.8,1259,49.2,66,Walter MARTIN,1,1,Walter MARTIN,ATTIGNAT 2026 l'Avenir avec Vous,AUT,Autres / Sans étiquette,#999999,1232,100.0,True,23
Balan,balan-01360,01-ain,1333,627,47,706,53,38,Patrick MEANT,1,1,Patrick MEANT,Balan 2032 - Ensemble pour construire l'avenir,AUT,Autres / Sans étiquette,#999999,589,100.0,True,24
Baneins,baneins-01990,01-ain,453,217,47.9,236,52.1,37,Jean-Pierre GRANGE,1,1,Jean-Pierre GRANGE,"Baneins, terroir en héritage, avenir en projet",AUT,Autres / Sans étiquette,#999999,180,100.0,True,15
Beaupont,beaupont-01270,01-ain,480,236,49.2,244,50.8,19,Gérard JANODET,1,1,Gérard JANODET,Ensemble pour BEAUPONT,AUT,Autres / Sans étiquette,#999999,217,100.0,True,15
